POPULATION,LATITUDE,LONGITUDE,Total_units,Vacant_units,Median_rooms,Mean_household_size_owners,Mean_household_size_renters,Owners,Median_household_income,Mean_household_income,Built_1990_or_later,Bedrooms_4_or_more,Median_Value
3352,34.432581,-118.428219,980,39,6.1,3.18,3.22,65.2,91495,99106,29.1,32.9,422900
2871,34.416973,-118.436705,994,85,5,3.18,3.18,38.7,86979,92634,57.2,20.8,335000
6769,34.401641,-118.464229,2899,0,4.3,2.81,2.39,59,76490,86764,72.6,14.6,348600
5711,34.402328,-118.441935,1680,101,6.9,3.35,2.84,89.5,133724,147022,87,65.6,520500
2686,34.444852,-118.515555,927,7,6.6,3.37,2.89,81,106923,129971,13.5,55.6,429500
4622,34.45341,-118.516704,1472,71,6.4,3.27,3.24,95.9,114159,122399,27.7,44.5,457200
5668,34.535137,-118.581212,2031,175,4.9,3.05,2.61,51.6,68571,86412,46.7,20.6,392300
2798,34.501607,-118.643306,878,0,6.6,3.27,3.67,94.4,97885,125303,28.8,39.8,472000
3110,34.450601,-118.662927,926,97,5.5,3.59,3.71,69,71336,79983,35.9,17.7,352700
3954,34.46711,-118.561481,1088,63,7.9,3.48,2,92.6,135580,151058,99.8,73.5,668100
3439,34.448143,-118.564688,1217,35,5.8,3.1,2.57,70.1,103636,129821,98.3,30.7,502400
4493,34.458494,-118.547597,1650,192,5.1,2.79,2.54,63.4,93724,113334,95.5,17.6,554100
5010,34.445272,-118.542759,1593,13,6,3.55,2.51,70.3,106657,127464,90.7,43.7,602800
3246,34.452513,-118.538355,1059,19,6,3.38,3.14,81.9,89167,104678,0.6,43,416000
4287,34.435732,-118.538189,1697,31,6.2,2.77,2.06,66,89432,93831,38.3,38.3,475800
6490,34.432565,-118.560159,2425,59,4,2.96,2.51,47,89541,99741,88.3,15.3,466500
4149,34.429822,-118.549329,1279,63,5.6,2.83,2.14,77.2,100205,113704,69.6,21.4,489500
5181,34.482382,-118.630099,1645,61,6.3,3.01,3.83,91.6,103944,120422,46.4,50.2,452700
6117,34.459458,-118.622246,1869,49,6.5,3.21,3.94,89.9,110513,124872,64.5,41.6,459200
1896,34.466153,-118.638737,512,26,7.7,4.03,4.27,88.7,128207,134272,89.9,71.1,576700
1446,34.290561,-118.620134,578,73,4.6,3.18,1.91,49.7,110636,146314,40.3,27.7,702500
5268,34.368943,-118.532036,1868,0,4.9,2.99,2.57,51.7,68958,95865,11.5,28.3,615800
6010,34.372441,-118.552073,1883,41,5.7,3.07,2.99,87.1,73577,96732,4.1,30.9,431300
2909,34.399398,-118.529902,994,44,6.4,2.8,3.41,87.9,117000,142606,29.5,31.7,506700
2895,34.382494,-118.54938,1123,19,6,2.57,2.66,71.2,68750,87788,2.2,43,487800
6840,34.379881,-118.577788,2508,283,4.2,3.21,2.23,54.8,87298,105126,77.1,23.9,532900
1990,34.416596,-118.568284,914,172,4.3,2.79,2.23,40.8,102000,128534,95.6,18,748300
5460,34.409463,-118.548437,2262,44,5.1,2.74,2.14,62.2,86548,98933,9.9,10.6,428400
5349,34.405118,-118.560834,2357,15,5,2.23,2.42,71.5,85938,104052,22.6,14.5,452600
4075,34.397423,-118.54659,1549,29,5.7,2.94,2.42,76.3,91038,94051,3.4,34.2,452100
2337,34.381697,-118.513917,674,14,4.8,2.72,2.5,87.3,80100,93947,42.3,21.9,249600
6598,34.389609,-118.559044,2275,34,5.9,2.6,2.51,75,79111,94116,4.2,33.3,482000
7027,34.386073,-118.536287,1778,215,4.1,4.12,3.78,33.9,42566,53369,3.6,12.7,360400
7257,34.373735,-118.514454,2066,183,4,3.45,4.75,24.6,57111,64745,33.1,7.2,276700
5721,34.38732,-118.593375,1781,46,7.5,3.39,2.28,95.7,136897,165472,86.7,71.3,653800
7377,34.400851,-118.597785,2213,62,6.2,3.25,2.46,77.8,128271,166786,91.1,47.9,650900
546,34.32357,-118.378251,206,29,5.4,2.45,3.13,82.5,65972,79521,31.1,13.6,226800
886,34.302691,-117.784736,350,75,4.3,2.17,2.06,80.7,85347,87944,21.2,6,326800
2471,34.168033,-118.629367,958,46,6.4,2.96,1.88,83.4,89875,123803,3.3,35.7,654500
4163,37.225259,-119.536711,3120,1310,5,2.19,2.52,64.6,51339,63240,26.3,10.7,358200
5033,37.368081,-119.671797,2688,508,5.3,2.28,2.05,75.8,42391,62387,27,18.2,270800
4773,37.322556,-119.627028,2296,464,5.5,2.45,2.7,72.4,48668,70640,30,18.8,326000
5021,37.187248,-119.770883,2196,457,5.8,2.58,3.16,84.5,77214,89611,52.9,19.9,292500
7068,37.241265,-119.692463,3054,491,5.3,2.71,2.53,79.6,44459,69542,62.4,18.5,236400
2392,37.226774,-119.835749,990,203,5.2,2.46,2.26,75.5,54732,67713,56.4,12.4,282900
9049,37.095801,-120.160617,497,122,5.1,4.77,3.19,48.8,51230,59761,40.2,18.1,171500
6109,37.095537,-120.268798,2227,334,5.8,2.86,3.99,59.3,69033,79692,62.9,31.8,270900
8213,37.116559,-120.269047,3082,366,5,3.31,3.05,39.7,33665,43961,24.9,9.2,186400
1288,36.955988,-120.394912,420,96,5,2.35,4.06,53.4,32619,67758,21.4,18.3,281600
10473,36.941535,-120.054917,2812,334,5.1,3.95,4.66,46.5,38560,45444,52.8,24,157400
8539,36.966596,-120.108064,3077,249,5.9,3.19,3.99,67.5,66361,78424,61.1,30.2,272100
6438,37.007154,-120.08472,1688,148,5.3,3.56,4.56,73.8,52760,64563,33.7,18.1,210700
10546,37.009261,-120.041349,2797,370,5.4,3.79,4.58,72.5,51262,73056,49.6,25.1,230200
6878,36.952884,-119.982203,1952,118,5.4,3.63,3.74,73.7,46950,66011,41.8,21.5,251100
5935,36.96039,-119.8744,1935,56,6.3,3.04,3.5,90.6,74854,88080,45.1,28.7,311800
5161,36.972284,-120.06092,1277,138,4.7,3.23,4.96,42.7,27598,35197,17.3,8,82700
5585,36.978932,-120.049949,1439,81,4.8,3.27,3.94,35.8,29551,40515,36.2,10.8,123900
5467,36.978229,-120.064099,1264,86,5,4.4,4.56,41.2,28182,40336,21.5,15.6,160200
10776,36.960539,-120.087724,3983,381,5.8,2.84,3.06,72,54954,68138,48.4,18.3,239800
7027,36.96067,-120.061564,2017,249,4.1,3.57,3.86,16,27600,39614,7,9.7,217800
9612,36.960564,-120.046103,2174,147,4.9,4.72,4.51,48.1,32466,37373,41.2,28.1,149800
5319,36.888431,-119.977164,2027,272,5.5,2.66,4.37,57.5,47128,72560,21.3,23.7,341600
2682,38.108421,-122.55249,1073,46,5.8,2.54,1.75,76.1,64479,104681,18.7,25.9,635800
2295,38.125884,-122.594873,945,28,7.2,2.56,2.81,84.2,99688,146911,23.2,59.2,742000
5885,38.11645,-122.591928,2279,20,6.3,2.72,2.13,76.3,76220,87630,8.6,40.1,636200
4753,38.110297,-122.571743,2078,132,4.7,2.49,2.11,39.1,53438,80758,7.8,15.4,572400
7168,38.105482,-122.610514,2762,159,6.7,2.6,3.65,83.6,94629,124045,3.4,44.9,716700
6504,38.101182,-122.582511,2634,96,5.3,2.51,2.07,60.9,67083,90630,17.2,23.1,695900
7819,38.077924,-122.560453,3204,97,6.3,2.49,2.3,78.4,99032,128244,23.4,38.4,703300
5135,38.085524,-122.557152,2126,76,4.6,2.32,2.68,50.5,73220,80385,11.6,7.3,392000
5722,38.059572,-122.550218,2482,0,5.9,2.24,2.42,66.7,76379,108458,15.5,24.6,682700
1530,38.076969,-122.512079,655,64,6.3,2.29,3.16,90.7,114583,148350,10.4,35.6,834000
6590,38.05394,-122.521372,2758,343,5.2,2.31,2.77,68.5,69139,87589,56.1,15.4,349600
4048,38.016394,-122.533311,2346,166,4,1.78,1.63,48.5,68545,78839,42.5,1.8,362000
5625,38.00605,-122.520712,2204,92,5.4,2.41,2.55,69.2,64830,89617,16.4,26.8,566400
6142,38.033708,-122.558847,2399,0,6.6,2.39,2.55,85.9,123239,151554,8.4,56.2,803700
6406,38.015397,-122.558157,2799,117,6.2,2.42,2.64,87.8,100833,118854,3.3,43.1,713100
6836,37.999533,-122.546271,3218,223,4.4,2.2,2.19,51.5,64647,94913,13.7,20,765300
3853,37.980688,-122.527099,1922,130,4.9,2.13,2.07,40.8,59234,80507,5.7,13.2,931600
3956,37.981077,-122.545883,1930,81,5.3,2.63,1.8,53.5,89652,120172,7,18.3,867800
5849,37.977618,-122.512979,2563,173,5,2.39,1.87,53.4,85260,133363,3.1,19.1,912200
5327,37.986017,-122.47799,2366,63,7.3,2.49,2.38,90.8,143750,179691,10.4,47.8,979900
5852,37.97033,-122.53563,3050,314,4,2.18,1.8,32.7,61037,85585,14.2,7.8,776700
4315,37.961478,-122.522235,2030,140,4.9,2.14,2.48,52.4,79403,105239,1.4,12.6,741000
7809,37.965714,-122.505525,2012,54,3.8,2.49,3.9,8.4,30983,42308,0.7,2.5,201700
4217,37.964353,-122.499943,1409,84,4.7,2.1,3.13,50.9,46479,80220,25.7,5.7,546000
3656,38.011639,-122.669568,1569,44,5.2,2.91,2.2,73.2,90028,104018,5.6,17,760500
5133,37.984095,-122.594462,2324,69,5.1,2.34,2.43,65,107396,126526,3.5,8.9,711400
3087,37.996992,-122.593207,1331,68,4.8,2.53,1.64,57.8,75848,99901,6,17.3,709000
7249,37.996426,-122.577366,2842,41,6.1,2.67,2.56,85.3,130280,164647,6.4,26.7,909000
3070,37.980528,-122.574514,1325,51,5.5,2.36,2.02,63.9,78542,107277,1.9,13.2,738200
4527,37.974596,-122.563704,2126,249,5.6,2.53,1.79,59,81875,120228,7.6,17.1,937100
3288,37.946094,-122.5301,1962,84,4.1,1.55,1.85,27.8,70682,93445,4.1,2.9,557600
5175,37.924707,-122.523741,2365,61,5,2.39,2.12,57.6,105464,148845,6.7,9.8,919000
5601,37.92631,-122.504213,2703,202,5.1,2.31,2.11,68.9,84320,116424,16.7,16.7,741100
